dificultad,ruta_imagen,tipo
1,/test/images/662_png.rf.4f9d55d7b4d0d4e78a1dd4f62711822c.jpg,BF
2,/train/images/1218_png.rf.2f9d318d88533baf6031663df1c4f15e.jpg,BF
3,/train/images/925_jpg.rf.f76c0ecfd73f4d67d8ff08d88ea9ba72.jpg,BF
4,/train/images/1215_jpg.rf.26b934fbfb69f9df5d89f6a92f85c43b.jpg,BF
5,/train/images/1253_jpg.rf.b387f32eb25453f9c3b189f0bc068a2b.jpg,BH
6,/valid/images/441_jpg.rf.7dd05c34b90d89172a3406de671d4011.jpg,NBF
7,/train/images/438_png.rf.2e7def69ee1d8c9ab23abdb76c19376b.jpg,NBF
8,/train/images/865_jpg.rf.6e149b332cfcfe32eb314fd5bf1150fa.jpg,BH
9,/train/images/1549_jpg.rf.fe76ec7551f46236934bec9c2e700502.jpg,BF
10,/test/images/1006_png.rf.b0508bd96db388acef6099710a88033d.jpg,BF
11,/valid/images/460_png.rf.5edc6f778716de92d49db27221ce56a8.jpg,NBH
12,/train/images/936_png.rf.42fe2b5b1cb9bbdec35680097dcb4be8.jpg,BF
13,/valid/images/1540_jpg.rf.cec289d4663ed29ac37a107681c1bbf1.jpg,BF
14,/valid/images/890_png.rf.3d05b9e398063a96b40b3862160e3233.jpg,BH
